Category,Task
Honeymoon Planning,"Set up house sitting"
Honeymoon Planning,"Exchange currency"
Wedding Website & Communications,"Create wedding website"
Wedding Website & Communications,"Add event details to website"
Wedding Website & Communications,"Add accommodations info"
Wedding Website & Communications,"Share wedding hashtag"
Wedding Website & Communications,"Set up RSVP system"
Vendor Management,"Compile vendor contact list"
Vendor Management,"Confirm all vendor bookings"
Vendor Management,"Finalize vendor payments"
Vendor Management,"Create vendor timeline"
Vendor Management,"Share contact info with vendors"
Wedding Day Timeline,"Create day-of timeline"
Wedding Day Timeline,"Assign day-of coordinator"
Wedding Day Timeline,"Create emergency kit"
Wedding Day Timeline,"Pack overnight bag"
Wedding Day Timeline,"Prepare toasts"
Wedding Day Timeline,"Break in reception shoes"
Health & Wellness,"Schedule pre-wedding workout plan"
Health & Wellness,"Book spa day"
Health & Wellness,"Schedule teeth whitening"
Health & Wellness,"Get manicure/pedicure"
Legal & Administrative,"Update name on documents"
Legal & Administrative,"Notify Social Security"
Legal & Administrative,"Update driver's license"
Legal & Administrative,"Update passport"
Legal & Administrative,"Update insurance policies"
Legal & Administrative,"Combine bank accounts"
Post-Wedding,"Send thank you notes"
Post-Wedding,"Preserve wedding dress"
Post-Wedding,"Order wedding album"
Post-Wedding,"Frame favorite photos"
Post-Wedding,"Submit marriage certificate"
Post-Wedding,"Share wedding photos with guests"
Post-Wedding,"Return rental items"
Post-Wedding,"Review vendor services"
Post-Wedding,"Organize wedding keepsakes"
Post-Wedding,"Back up wedding photos"
Post-Wedding,"Order thank you card photos"
Post-Wedding,"Create wedding video highlights"
Post-Wedding,"Donate or sell wedding items"
Post-Wedding,"Write vendor reviews"
Post-Wedding,"Update social media"
Post-Wedding,"Box and store wedding items"
Post-Wedding,"Cancel vendor trials/subscriptions"
Post-Wedding,"Create digital wedding archive"
Post-Wedding,"Update emergency contacts"
Post-Wedding,"Plan first anniversary"
Post-Wedding,"Create wedding memory book"
Post-Wedding,"Share professional photos"
Post-Wedding,"Create thank you video"
Post-Wedding,"Finalize budget reconciliation"
